New column 0,New column 1,New column 2,New column 3,New column 3 Url
"HP Ink Advantage 2778 Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home","6,399",3.8 out of 5 stars,"2,156",https://www.amazon.in/HP-DeskJet-2778-Advantage-Wireless/dp/B08CYMP63S/ref=sr_1_19?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-19#customerReviews
"HP Smart Tank 585 All-in-one WiFi Colour Printer (Upto 6000 Black and 6000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","14,968",4.3 out of 5 stars,80,https://www.amazon.in/HP-Smart-Colour-Printer-Included/dp/B0BNV9QP8J/ref=sr_1_19?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-19#customerReviews
"HP Laserjet 138fnw Monochrome Compact Wi-Fi Printer with Network Support for Reliable, Fast Printing (Print, Copy, Scan, Fax)","20,799",4.0 out of 5 stars,"1,150",https://www.amazon.in/HP-Laser-138fnw-Network-Wireless/dp/B07RWL4TVF/ref=sr_1_20?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-20#customerReviews
"HP Ink Advantage 6075 WiFi Colour Printer, Scanner and Copier for Home/Small Office, Dual Band WiFi, Duplex Printing (Automatic Double-Sided Print).","10,999",4.1 out of 5 stars,855,https://www.amazon.in/HP-6075-Wireless-Advantage-Auto-Duplex/dp/B08D9N2FLX/ref=sr_1_21?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-21#customerReviews
"HP Ink Advantage 2776 Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home.","6,399",4.0 out of 5 stars,512,https://www.amazon.in/HP-DeskJet-2776-Wireless-Advantage/dp/B08D9MZTQ7/ref=sr_1_17?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-17#customerReviews
"HP Smart 750 WiFi Duplex Printer with Smart-Guided Button, Print, Scan, Copy, Wireless and ADF, Hi-Capacity Tank with auto Ink, Paper Sensor, up to 12K Black or 8K Color Pages of Ink in The Box","23,989",4.1 out of 5 stars,931,https://www.amazon.in/HP-Printer-Smart-Guided-Wireless-Hi-Capacity/dp/B09H38XTDN/ref=sr_1_18?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-18#customerReviews
"HP Ink Advantage Ultra 4826 Print, Copy, Scan, Self Reset Dual Band WiFi, 2 Sets of Inbox Cartridges, Smart App Setup. Print per Page (44p for B/W and 81p for Colour), Ideal for Home",,4.0 out of 5 stars,908,https://www.amazon.in/HP-Deskjet-Advantage-self-Reset-42-4X55-5X24-5/dp/B09HXR44XS/ref=sr_1_19?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-19#customerReviews
"HP Smart Tank 500 Colour Printer, Scanner and Copier for Home/Office, High Capacity Tank (6000 Black and 8000 Colour) with Automatic Ink Sensor","11,299",4.0 out of 5 stars,"1,531",https://www.amazon.in/HP-Smart-500-Color-Printer/dp/B08GGGZ7CD/ref=sr_1_20?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-20#customerReviews
"HP Laserjet Tank 2606sdw Duplex Printer with ADF Print+Copy+Scan, Lowest Cost/Page - B&W Prints, Easy 15 Sec Toner Refill, Dual Band Wi-Fi, Smart Guided Buttons, Best for Business",,3.8 out of 5 stars,161,https://www.amazon.in/HP-Laserjet-2606sdw-Duplex-Printer/dp/B09T3SK8M9/ref=sr_1_21?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-21#customerReviews
"HP Deskjet Ink Advantage 2338 Printer, Scanner and Copier for Home for Home for Dependable Printing and scanning, Simple Setup for Everyday Usage, Ideal for Home.","6,499",3.7 out of 5 stars,"2,046",https://www.amazon.in/HP-DeskJet-2338-Advantage-Printer/dp/B08D9NVJ6V/ref=sr_1_24?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-24#customerReviews
